Temps (s),Angle (rad)
2.25268,-0.785398163
2.260872,-0.804247719
2.269064,-0.826238868
2.277256,-0.841946831
2.285448,-0.860796387
2.292616,-0.879645943
2.300808,-0.895353906
2.309,-0.91106187
2.317192,-0.926769833
2.325384,-0.942477796
2.333576,-0.955044167
2.340744,-0.967610537
2.348936,-0.980176908
2.357128,-0.992743279
2.36532,-1.00530965
2.373512,-1.01473443
2.38068,-1.0273008
2.388872,-1.03358398
2.397064,-1.04300876
2.405256,-1.05243354
2.413448,-1.05871672
2.42164,-1.06499991
2.428808,-1.07128309
2.437,-1.07442469
2.445192,-1.07756628
2.453384,-1.08384947
2.463624,-1.08699106
2.504584,-1.08384947
2.514824,-1.08070787
2.521992,-1.07756628
2.528136,-1.07442469
2.53428,-1.07128309
2.541448,-1.0681415
2.54964,-1.06185832
2.556808,-1.05557513
2.565,-1.04929195
2.573192,-1.03986717
2.581384,-1.03044239
2.589576,-1.02101761
2.597768,-1.01159283
2.604936,-1.00216806
2.613128,-0.989601686
2.62132,-0.977035315
2.629512,-0.964468945
2.637704,-0.948760981
2.644872,-0.936194611
2.653064,-0.920486648
2.661256,-0.904778684
2.669448,-0.889070721
2.67764,-0.873362758
2.685832,-0.854513202
2.693,-0.835663646
2.701192,-0.81681409
2.709384,-0.797964534
2.717576,-0.779114978
2.725768,-0.760265422
2.732936,-0.738274274
2.741128,-0.719424718
2.74932,-0.697433569
2.757512,-0.675442421
2.765704,-0.653451272
2.772872,-0.628318531
2.781064,-0.606327382
2.789256,-0.581194641
2.797448,-0.5560619
2.80564,-0.534070751
2.812808,-0.50893801
2.821,-0.483805269
2.829192,-0.458672527
2.837384,-0.430398194
2.845576,-0.405265452
2.853768,-0.380132711
2.860936,-0.351858377
2.869128,-0.323584043
2.87732,-0.298451302
2.885512,-0.270176968
2.893704,-0.241902634
2.900872,-0.216769893
2.909064,-0.188495559
2.917256,-0.160221225
2.925448,-0.131946891
2.93364,-0.103672558
2.941832,-0.0753982237
2.949,-0.0471238898
2.957192,-0.0188495559
2.965384,0.00942477796
2.973576,0.0345575192
2.981768,0.0628318531
2.988936,0.091106187
2.997128,0.119380521
3.00532,0.147654855
3.013512,0.175929189
3.021704,0.20106193
3.029896,0.229336264
3.037064,0.257610598
3.045256,0.282743339
3.053448,0.311017673
