Temps (s),Angle (rad)
0,1.99805293
0.037403,1.99491134
0.220699,1.99176974
0.357915,1.99491134
0.396827,1.99805293
0.434715,2.00119452
0.576027,1.99805293
0.594459,1.99491134
0.606747,1.99176974
0.615963,1.98862815
0.622107,1.98548656
0.630299,1.98234496
0.638491,1.97606178
0.646683,1.966637
0.654875,1.96035382
0.663067,1.95092904
0.670235,1.94150426
0.678427,1.92893789
0.686619,1.91637152
0.694811,1.90380515
0.703003,1.88809718
0.711195,1.87238922
0.718363,1.85668126
0.726555,1.8378317
0.734747,1.81584055
0.742939,1.796991
0.751131,1.77499985
0.759323,1.7530087
0.766491,1.73101755
0.774683,1.7090264
0.782875,1.68389366
0.791067,1.65561933
0.799259,1.63048659
0.806427,1.60221225
0.814619,1.57393792
0.822811,1.54566359
0.831003,1.51738925
0.839195,1.48597333
0.846363,1.4545574
0.854555,1.42628306
0.862747,1.39172555
0.870939,1.36030962
0.879131,1.3257521
0.886299,1.29119458
0.894491,1.25977865
0.902683,1.22522113
0.910875,1.18752202
0.919067,1.1529645
0.927259,1.11840698
0.934427,1.08070787
0.942619,1.04300876
0.950811,1.00530965
0.959003,0.97075213
0.967195,0.933053018
0.975387,0.892212314
0.982555,0.854513202
0.990747,0.81681409
0.998939,0.779114978
1.007131,0.741415866
1.015323,0.700575162
1.022491,0.66287605
1.030683,0.625176938
1.038875,0.584336234
1.047067,0.546637122
1.055259,0.505796417
1.063451,0.468097305
1.070619,0.430398194
1.078811,0.389557489
1.087003,0.351858377
1.095195,0.314159265
1.103387,0.276460154
1.111579,0.235619449
1.118747,0.197920337
1.126939,0.160221225
1.135131,0.122522113
1.143323,0.0879645943
1.151515,0.0502654825
1.158683,0.0125663706
1.166875,-0.0219911486
1.175067,-0.0596902604
1.183259,-0.0942477796
1.190427,-0.128805299
1.198619,-0.163362818
1.206811,-0.197920337
1.215003,-0.232477856
1.223195,-0.263893783
1.231387,-0.298451302
1.238555,-0.329867229
1.246747,-0.361283155
1.254939,-0.392699082
1.263131,-0.424115008
1.271323,-0.452389342
1.278491,-0.480663676
1.286683,-0.512079603
1.294875,-0.537212344
1.303067,-0.565486678
1.311259,-0.593761012
1.318427,-0.618893753
1.326619,-0.644026494
1.334811,-0.669159235
1.343003,-0.694291976
1.351195,-0.716283125
1.358363,-0.738274274
1.366555,-0.760265422
1.374747,-0.779114978
1.382939,-0.801106127
1.391131,-0.819955683
1.398299,-0.838805239
1.406491,-0.857654794
1.414683,-0.873362758
1.422875,-0.892212314
1.431067,-0.907920277
1.439259,-0.920486648
1.446427,-0.936194611
1.454619,-0.948760981
1.462811,-0.961327352
1.471003,-0.973893723
1.479195,-0.983318501
1.486363,-0.995884871
1.494555,-1.00216806
1.502747,-1.01159283
1.510939,-1.02101761
1.519131,-1.0273008
1.526299,-1.03358398
1.534491,-1.03986717
1.542683,-1.04300876
1.550875,-1.04615035
1.559067,-1.04929195
1.566235,-1.05243354
1.574427,-1.05557513
1.602075,-1.05243354
1.615387,-1.04929195
1.623579,-1.04615035
1.630747,-1.04300876
1.638939,-1.03986717
1.647131,-1.03672558
1.654299,-1.03044239
1.662491,-1.02415921
1.670683,-1.01787602
1.678875,-1.00845124
1.687067,-1.00216806
1.694235,-0.992743279
1.702427,-0.983318501
1.710619,-0.973893723
1.718811,-0.961327352
1.727003,-0.951902574
