Temps (s),Angle (rad)
0,-0.0125663706
0.005312,-0.0565486678
0.01248,-0.0973893723
0.020672,-0.138230077
0.028864,-0.182212374
0.037056,-0.223053078
0.045248,-0.263893783
0.052416,-0.304734487
0.060608,-0.345575192
0.0688,-0.386415896
0.076992,-0.424115008
0.085184,-0.464955713
0.092352,-0.502654825
0.100544,-0.543495529
0.108736,-0.581194641
0.116928,-0.618893753
0.12512,-0.653451272
0.133312,-0.691150384
0.14048,-0.725707903
0.148672,-0.760265422
0.156864,-0.794822941
0.165056,-0.829380461
0.173248,-0.860796387
0.180416,-0.895353906
0.188608,-0.926769833
0.1968,-0.958185759
0.204992,-0.986460093
0.213184,-1.01787602
0.221376,-1.04615035
0.228544,-1.07442469
0.236736,-1.09955743
0.244928,-1.12469017
0.25312,-1.1529645
0.261312,-1.17495565
0.26848,-1.20008839
0.276672,-1.22207954
0.284864,-1.24407069
0.293056,-1.26292025
0.301248,-1.2849114
0.30944,-1.30376095
0.316608,-1.31946891
0.3248,-1.33517688
0.332992,-1.35088484
0.341184,-1.3665928
0.349376,-1.37915917
0.357568,-1.39172555
0.364736,-1.40429192
0.372928,-1.41371669
0.38112,-1.42628306
0.389312,-1.43256625
0.397504,-1.43884944
0.404672,-1.44827421
0.412864,-1.45141581
0.421056,-1.45769899
0.429248,-1.46084058
0.443584,-1.46398218
0.458944,-1.46084058
0.471232,-1.45769899
0.4784,-1.4545574
0.485568,-1.45141581
0.492736,-1.44827421
0.500928,-1.44199103
0.50912,-1.43570784
0.517312,-1.42628306
0.525504,-1.41685829
0.532672,-1.40743351
0.540864,-1.39486714
0.549056,-1.38544236
0.557248,-1.3697344
0.56544,-1.35716803
0.572608,-1.34146006
0.5808,-1.3257521
0.588992,-1.31004414
0.597184,-1.29119458
0.605376,-1.27548662
0.612544,-1.25349547
0.620736,-1.23464591
0.628928,-1.21265476
0.63712,-1.19066362
0.645312,-1.16867247
0.653504,-1.14668132
0.660672,-1.12469017
0.668864,-1.09955743
0.677056,-1.07442469
0.685248,-1.04615035
0.69344,-1.02101761
0.700608,-0.992743279
0.7088,-0.964468945
0.716992,-0.936194611
0.725184,-0.907920277
0.733376,-0.879645943
0.741568,-0.848230016
0.748736,-0.81681409
0.756928,-0.788539756
0.76512,-0.75712383
0.773312,-0.72256631
0.781504,-0.691150384
0.788672,-0.659734457
0.796864,-0.625176938
0.805056,-0.593761012
0.813248,-0.559203492
0.82144,-0.524645973
0.829632,-0.493230047
0.8368,-0.458672527
0.844992,-0.424115008
0.853184,-0.386415896
0.861376,-0.351858377
0.869568,-0.317300858
0.876736,-0.282743339
0.884928,-0.24818582
0.89312,-0.210486708
0.901312,-0.175929189
0.909504,-0.141371669
0.916672,-0.10681415
0.924864,-0.072256631
0.933056,-0.0376991118
0.941248,-0.00314159265
0.94944,0.0345575192
0.957632,0.0691150384
0.9648,0.103672558
0.972992,0.138230077
0.981184,0.169646003
0.989376,0.204203522
0.997568,0.238761042
1.00576,0.273318561
1.012928,0.304734487
1.02112,0.339292007
1.029312,0.370707933
1.037504,0.40212386
1.044672,0.433539786
1.052864,0.464955713
1.061056,0.496371639
1.069248,0.527787566
1.07744,0.5560619
1.084608,0.587477826
1.0928,0.61575216
1.100992,0.644026494
1.109184,0.672300828
1.117376,0.697433569
1.124544,0.725707903
1.132736,0.750840644
1.140928,0.779114978
1.14912,0.804247719
1.157312,0.826238868
1.165504,0.851371609
1.173696,0.873362758
1.180864,0.898495499
1.189056,0.920486648
1.197248,0.939336203
1.20544,0.961327352
1.213632,0.980176908
1.2208,1.00216806
1.228992,1.01787602
1.237184,1.03672558
1.245376,1.05243354
1.253568,1.07128309
1.26176,1.08699106
1.268928,1.09955743
1.27712,1.11526539
1.285312,1.12783176
1.293504,1.14039813
1.301696,1.14982291
1.308864,1.16238928
1.317056,1.17181406
1.325248,1.18123884
1.33344,1.19066362
1.341632,1.1969468
1.3488,1.20322999
1.356992,1.20951317
1.365184,1.21579636
1.373376,1.21893795
1.381568,1.22207954
1.38976,1.22522113
1.396928,1.22836273
1.433792,1.22522113
1.444032,1.22207954
1.4512,1.21893795
1.457344,1.21579636
1.462464,1.21265476
1.469632,1.20951317
1.477824,1.20322999
