Temps (s),Angle (rad)
0,-0.175929189
0.006066,-0.207345115
0.014258,-0.241902634
0.02245,-0.273318561
0.030642,-0.304734487
0.038834,-0.336150414
0.046002,-0.36756634
0.054194,-0.398982267
0.062386,-0.430398194
0.070578,-0.458672527
0.07877,-0.490088454
0.085938,-0.518362788
0.09413,-0.546637122
0.102322,-0.574911456
0.110514,-0.603185789
0.118706,-0.631460123
0.126898,-0.659734457
0.134066,-0.684867198
0.142258,-0.713141532
0.15045,-0.738274274
0.158642,-0.763407015
0.166834,-0.785398163
0.174002,-0.810530905
0.182194,-0.832522053
0.190386,-0.857654794
0.198578,-0.87650435
0.20677,-0.898495499
0.214962,-0.920486648
0.22213,-0.939336203
0.230322,-0.958185759
0.238514,-0.977035315
0.246706,-0.995884871
0.253874,-1.01159283
0.262066,-1.0273008
0.270258,-1.04300876
0.27845,-1.05871672
0.286642,-1.07128309
0.294834,-1.08384947
0.302002,-1.09641584
0.310194,-1.10898221
0.318386,-1.12154858
0.326578,-1.13097336
0.33477,-1.14039813
0.342962,-1.14668132
0.35013,-1.1561061
0.358322,-1.16238928
0.366514,-1.16867247
0.374706,-1.17181406
0.382898,-1.17809725
0.390066,-1.18123884
0.398258,-1.18438043
0.44229,-1.18123884
0.450482,-1.17809725
0.45765,-1.17495565
0.46277,-1.17181406
0.470962,-1.16867247
0.479154,-1.16238928
0.486322,-1.1561061
0.494514,-1.14982291
0.502706,-1.14039813
0.510898,-1.13097336
0.51909,-1.12154858
0.526258,-1.1121238
0.53445,-1.09955743
0.542642,-1.08699106
0.550834,-1.07442469
0.559026,-1.06185832
0.566194,-1.04929195
0.574386,-1.03358398
0.582578,-1.01787602
0.59077,-1.00216806
0.598962,-0.983318501
0.60613,-0.967610537
0.614322,-0.948760981
0.622514,-0.929911425
0.630706,-0.91106187
0.638898,-0.889070721
0.646066,-0.870221165
0.654258,-0.848230016
0.66245,-0.826238868
0.670642,-0.804247719
0.678834,-0.782256571
0.686002,-0.75712383
0.694194,-0.735132681
0.702386,-0.70999994
0.710578,-0.684867198
0.71877,-0.659734457
0.725938,-0.634601716
0.73413,-0.609468975
0.742322,-0.584336234
0.750514,-0.5560619
0.758706,-0.530929158
0.765874,-0.502654825
0.774066,-0.474380491
0.782258,-0.446106157
0.79045,-0.420973416
0.798642,-0.392699082
0.806834,-0.361283155
0.814002,-0.333008821
0.822194,-0.304734487
0.830386,-0.276460154
0.838578,-0.24818582
0.84677,-0.216769893
0.853938,-0.188495559
0.86213,-0.160221225
0.870322,-0.128805299
0.878514,-0.100530965
0.886706,-0.072256631
0.894898,-0.0408407045
0.902066,-0.0125663706
0.910258,0.0157079633
0.91845,0.0439822972
0.926642,0.0753982237
0.93381,0.103672558
0.942002,0.131946891
0.950194,0.160221225
0.958386,0.188495559
0.966578,0.216769893
0.97477,0.245044227
0.982962,0.273318561
0.99013,0.301592895
0.998322,0.329867229
1.006514,0.35499997
1.014706,0.383274304
1.022898,0.408407045
1.030066,0.433539786
1.038258,0.46181412
1.04645,0.486946861
1.054642,0.50893801
1.062834,0.534070751
1.071026,0.559203492
1.078194,0.584336234
1.086386,0.606327382
1.094578,0.628318531
1.10277,0.650309679
1.110962,0.672300828
1.11813,0.694291976
1.126322,0.716283125
1.134514,0.735132681
1.142706,0.75712383
1.150898,0.775973385
1.15909,0.794822941
1.166258,0.813672497
1.17445,0.829380461
1.182642,0.848230016
1.190834,0.86393798
1.199026,0.879645943
1.206194,0.895353906
1.214386,0.91106187
1.222578,0.92362824
1.23077,0.936194611
1.238962,0.948760981
1.247154,0.961327352
1.255346,0.973893723
1.262514,0.983318501
1.270706,0.995884871
1.278898,1.00216806
1.28709,1.01159283
1.295282,1.02101761
1.30245,1.0273008
1.310642,1.03358398
1.318834,1.03986717
1.327026,1.04615035
1.335218,1.04929195
1.342386,1.05557513
1.350578,1.05871672
1.359794,1.06185832
1.382322,1.06499991
1.392562,1.06185832
1.408946,1.05871672
1.419186,1.05557513
1.426354,1.05243354
1.432498,1.04929195
1.438642,1.04615035
1.446834,1.04300876
1.455026,1.03672558
1.463218,1.03044239
1.470386,1.02415921
1.478578,1.01473443
1.48677,1.00845124
1.494962,0.999026464
1.503154,0.989601686
1.510322,0.977035315
1.518514,0.967610537
1.526706,0.955044167
1.534898,0.942477796
1.54309,0.929911425
1.550258,0.917345055
1.55845,0.904778684
1.566642,0.889070721
1.574834,0.873362758
1.583026,0.857654794
1.591218,0.841946831
1.598386,0.826238868
1.606578,0.810530905
1.61477,0.791681349
1.622962,0.772831793
1.631154,0.753982237
1.638322,0.735132681
1.646514,0.716283125
1.654706,0.697433569
1.662898,0.675442421
1.67109,0.656592865
1.678258,0.634601716
1.68645,0.612610567
1.694642,0.590619419
1.702834,0.56862827
1.711026,0.546637122
1.719218,0.524645973
1.726386,0.499513232
1.734578,0.477522083
1.74277,0.455530935
1.750962,0.430398194
1.759154,0.405265452
1.766322,0.380132711
1.774514,0.358141563
1.782706,0.333008821
1.790898,0.30787608
1.79909,0.282743339
1.806258,0.257610598
1.81445,0.232477856
1.822642,0.204203522
1.830834,0.179070781
1.839026,0.15393804
1.846194,0.128805299
1.854386,0.103672558
1.862578,0.0785398163
1.87077,0.0502654825
1.878962,0.0251327412
1.88613,-0
1.894322,-0.0251327412
1.902514,-0.0534070751
1.910706,-0.0785398163
1.918898,-0.103672558
1.92709,-0.128805299
1.934258,-0.15393804
1.94245,-0.179070781
1.950642,-0.204203522
1.958834,-0.229336264
1.967026,-0.251327412
1.974194,-0.276460154
1.982386,-0.301592895
1.990578,-0.323584043
1.99877,-0.348716785
2.006962,-0.370707933
2.015154,-0.392699082
2.022322,-0.417831823
2.030514,-0.439822972
2.038706,-0.46181412
2.046898,-0.483805269
2.05509,-0.502654825
2.062258,-0.524645973
2.07045,-0.546637122
2.078642,-0.565486678
2.086834,-0.584336234
2.095026,-0.603185789
2.103218,-0.622035345
2.110386,-0.640884901
2.118578,-0.659734457
2.12677,-0.675442421
2.134962,-0.691150384
2.143154,-0.706858347
2.150322,-0.72256631
2.158514,-0.738274274
2.166706,-0.753982237
2.174898,-0.766548607
2.18309,-0.782256571
2.191282,-0.794822941
2.19845,-0.807389312
2.206642,-0.81681409
2.214834,-0.829380461
2.223026,-0.838805239
2.231218,-0.848230016
2.238386,-0.857654794
2.246578,-0.867079572
2.25477,-0.87650435
2.262962,-0.882787536
2.271154,-0.889070721
2.278322,-0.895353906
2.286514,-0.901637092
2.294706,-0.904778684
2.302898,-0.91106187
2.31109,-0.914203462
2.319282,-0.917345055
2.327474,-0.920486648
2.37765,-0.917345055
2.386866,-0.914203462
2.395058,-0.91106187
2.402226,-0.907920277
2.40837,-0.904778684
2.414514,-0.901637092
2.422706,-0.898495499
2.430898,-0.892212314
2.43909,-0.885929128
2.447282,-0.87650435
2.45445,-0.870221165
2.462642,-0.860796387
2.470834,-0.851371609
2.479026,-0.841946831
2.487218,-0.832522053
2.494386,-0.823097275
2.502578,-0.810530905
2.51077,-0.801106127
2.518962,-0.788539756
2.527154,-0.775973385
2.534322,-0.760265422
2.542514,-0.747699052
2.550706,-0.731991088
2.558898,-0.719424718
2.56709,-0.703716754
2.575282,-0.688008791
2.58245,-0.672300828
2.590642,-0.656592865
2.598834,-0.637743309
2.607026,-0.622035345
2.615218,-0.606327382
2.622386,-0.587477826
2.630578,-0.56862827
2.63877,-0.549778714
2.646962,-0.530929158
2.655154,-0.512079603
2.663346,-0.490088454
2.670514,-0.471238898
2.678706,-0.449247749
2.686898,-0.430398194
2.69509,-0.408407045
2.703282,-0.386415896
2.71045,-0.36756634
2.718642,-0.345575192
2.726834,-0.323584043
2.735026,-0.301592895
2.743218,-0.279601746
2.75141,-0.257610598
2.758578,-0.235619449
2.76677,-0.210486708
2.774962,-0.188495559
2.783154,-0.166504411
2.791346,-0.144513262
2.798514,-0.122522113
2.806706,-0.0973893723
2.814898,-0.0753982237
2.82309,-0.0534070751
2.831282,-0.0314159265
2.839474,-0.00628318531
2.846642,0.0157079633
2.854834,0.0376991118
2.863026,0.0596902604
2.871218,0.081681409
