Temps (s),Angle (rad)
2.255052,-0.672300828
2.26222,-0.691150384
2.270412,-0.706858347
2.278604,-0.725707903
2.286796,-0.741415866
2.294988,-0.75712383
2.30318,-0.772831793
2.310348,-0.788539756
2.31854,-0.801106127
2.326732,-0.81681409
2.334924,-0.829380461
2.343116,-0.841946831
2.350284,-0.854513202
2.358476,-0.86393798
2.366668,-0.873362758
2.37486,-0.885929128
2.383052,-0.895353906
2.391244,-0.904778684
2.398412,-0.91106187
2.406604,-0.920486648
2.414796,-0.926769833
2.422988,-0.933053018
2.43118,-0.939336203
2.438348,-0.942477796
2.44654,-0.948760981
2.454732,-0.951902574
2.462924,-0.955044167
2.471116,-0.958185759
2.48238,-0.961327352
2.510028,-0.958185759
2.524364,-0.955044167
2.532556,-0.951902574
2.540748,-0.948760981
2.546892,-0.945619389
2.552012,-0.942477796
2.55918,-0.939336203
2.567372,-0.933053018
2.57454,-0.926769833
2.582732,-0.920486648
2.590924,-0.914203462
2.599116,-0.904778684
2.607308,-0.895353906
2.614476,-0.885929128
2.622668,-0.87650435
2.63086,-0.867079572
2.639052,-0.854513202
2.647244,-0.845088424
2.654412,-0.832522053
2.662604,-0.81681409
2.670796,-0.804247719
2.678988,-0.791681349
2.68718,-0.775973385
2.695372,-0.760265422
2.70254,-0.744557459
2.710732,-0.728849496
2.718924,-0.713141532
2.727116,-0.694291976
2.735308,-0.678584013
2.7435,-0.659734457
2.750668,-0.640884901
2.75886,-0.622035345
2.767052,-0.603185789
2.775244,-0.584336234
2.783436,-0.562345085
2.790604,-0.543495529
2.798796,-0.52150438
2.806988,-0.499513232
2.81518,-0.477522083
2.823372,-0.455530935
2.831564,-0.433539786
2.838732,-0.411548638
2.846924,-0.386415896
2.855116,-0.364424748
2.863308,-0.342433599
2.8715,-0.317300858
2.878668,-0.292168117
2.88686,-0.270176968
2.895052,-0.245044227
2.903244,-0.219911486
2.911436,-0.194778745
2.918604,-0.172787596
2.926796,-0.147654855
2.934988,-0.122522113
2.94318,-0.0973893723
2.951372,-0.072256631
2.959564,-0.0471238898
2.966732,-0.0219911486
2.974924,0.00314159265
2.983116,0.0282743339
2.991308,0.0534070751
2.998476,0.0785398163
3.006668,0.103672558
3.01486,0.128805299
3.023052,0.150796447
3.031244,0.175929189
3.038412,0.20106193
3.046604,0.226194671
3.054796,0.24818582
3.062988,0.273318561
3.07118,0.295309709
3.078348,0.320442451
3.08654,0.342433599
3.094732,0.36756634
3.102924,0.389557489
3.110092,0.411548638
3.118284,0.433539786
3.126476,0.455530935
3.134668,0.477522083
3.14286,0.499513232
3.151052,0.518362788
3.15822,0.540353936
3.166412,0.562345085
3.174604,0.581194641
3.182796,0.600044197
3.190988,0.618893753
3.19918,0.637743309
3.206348,0.656592865
3.21454,0.675442421
3.222732,0.691150384
3.230924,0.70999994
3.239116,0.725707903
3.247308,0.741415866
3.254476,0.75712383
3.262668,0.7696902
3.27086,0.785398163
3.279052,0.797964534
3.287244,0.813672497
3.294412,0.826238868
3.302604,0.838805239
3.310796,0.848230016
3.318988,0.860796387
3.32718,0.870221165
3.335372,0.882787536
3.34254,0.892212314
3.350732,0.898495499
3.358924,0.907920277
3.367116,0.914203462
3.375308,0.92362824
3.382476,0.929911425
3.390668,0.936194611
3.39886,0.939336203
3.407052,0.945619389
3.415244,0.948760981
3.422412,0.951902574
3.430604,0.955044167
3.438796,0.958185759
3.486924,0.955044167
3.497164,0.951902574
3.505356,0.948760981
3.512524,0.945619389
3.518668,0.942477796
3.52686,0.939336203
3.535052,0.933053018
3.543244,0.926769833
3.550412,0.920486648
3.558604,0.914203462
3.566796,0.904778684
3.574988,0.898495499
3.58318,0.889070721
3.590348,0.879645943
3.59854,0.870221165
3.606732,0.857654794
3.614924,0.848230016
3.623116,0.835663646
3.631308,0.823097275
3.638476,0.810530905
3.646668,0.794822941
3.65486,0.782256571
3.663052,0.766548607
3.671244,0.753982237
3.678412,0.738274274
3.686604,0.72256631
3.694796,0.703716754
3.702988,0.688008791
3.71118,0.672300828
3.718348,0.653451272
3.72654,0.634601716
3.734732,0.61575216
3.742924,0.596902604
3.751116,0.578053048
3.758284,0.559203492
3.766476,0.537212344
3.774668,0.518362788
3.78286,0.496371639
3.791052,0.474380491
3.799244,0.452389342
3.806412,0.433539786
3.814604,0.408407045
3.822796,0.386415896
3.830988,0.364424748
3.83918,0.342433599
3.846348,0.320442451
3.85454,0.295309709
3.862732,0.273318561
3.870924,0.24818582
3.879116,0.226194671
3.886284,0.20106193
3.894476,0.175929189
3.902668,0.15393804
3.91086,0.128805299
3.919052,0.103672558
3.927244,0.0785398163
3.934412,0.0534070751
3.942604,0.0314159265
3.950796,0.00628318531
3.958988,-0.0188495559
3.96718,-0.0439822972
