Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit	Wavelength (nm) - Tracé 2	Theorical Reflectance (0..1) - Tracé 2
657.62	41.121			0.41121	
657.93	43.175			0.43175	
658.24	42.718			0.42718	
658.55	45.574			0.45574	
658.86	45.763			0.45763	
659.17	45.139			0.45139	
659.48	45.517			0.45517	
659.79	48.54			0.4854	
660.1	48.485			0.48485	
660.41	45.725			0.45725	
660.72	47.266			0.47266	
661.03	49.194			0.49194	
661.34	49.576			0.49576	
661.65	46.4			0.464	
661.95	48.319			0.48319	
662.26	48.305			0.48305	
662.57	52.679			0.52679	
662.88	51.389			0.51389	
663.19	50.901			0.50901	
663.49	50.242			0.50242	
663.8	57.488			0.57488	
664.11	54.04			0.5404	
664.41	54.545			0.54545	
664.72	51.531			0.51531	
665.03	54.737			0.54737	
665.33	55.208			0.55208	
665.64	54.011			0.54011	
665.94	59.429			0.59429	
666.25	53.005			0.53005	
666.56	56.667			0.56667	
666.86	61.714			0.61714	
667.17	56.395			0.56395	
667.47	58.824			0.58824	
667.77	61.585			0.61585	
668.08	56.97			0.5697	
668.38	61.006			0.61006	
668.69	56.875			0.56875	
668.99	60.51			0.6051	
669.29	60.51			0.6051	
669.6	58.784			0.58784	
669.9	57.241			0.57241	
670.2	64.626			0.64626	
670.51	62.069			0.62069	
670.81	64.029			0.64029	
671.11	68.841			0.68841	
671.41	65.693			0.65693	
671.72	67.939			0.67939	
672.02	68.992			0.68992	
672.32	63.043			0.63043	
672.62	62.016			0.62016	
672.92	63.636			0.63636	
673.22	69.355			0.69355	
673.52	62.602			0.62602	
673.82	66.667			0.66667	
674.13	64			0.64	
674.43	69.565			0.69565	
674.73	70.833			0.70833	
675.03	70.69			0.7069	
675.32	67.769			0.67769	
675.62	75.214			0.75214	
675.92	66.667			0.66667	
676.22	71.296			0.71296	
676.52	74.286			0.74286	
676.82	77.982			0.77982	
677.12	74.074			0.74074	
677.42	73.333			0.73333	
677.71	78.125			0.78125	
678.01	77.885			0.77885	
678.31	72.816			0.72816	
678.61	82.653			0.82653	
678.9	83.673			0.83673	
679.2	80			0.8	
679.5	73.267			0.73267	
679.79	75.258			0.75258	
680.09	80.46			0.8046	
680.39	85.185			0.85185	
680.68	75.949			0.75949	
680.98	76.344			0.76344	
681.27	78.889			0.78889	
681.57	89.744			0.89744	
681.86	81.013			0.81013	
682.16	76.25			0.7625	
682.45	71.605			0.71605	
682.75	81.928			0.81928	
683.04	79.487			0.79487	
683.34	80.263			0.80263	
683.63	78.873			0.78873	
683.92	86.567			0.86567	
684.22	75			0.75	
684.51	86.957			0.86957	
684.8	87.324			0.87324	
685.1	78.873			0.78873	
685.39	84.127			0.84127	
685.68	79.104			0.79104	
685.97	85.246			0.85246	
686.26	73.77			0.7377	
686.56	94.444			0.94444	
686.85	95.161			0.95161	
687.14	82.456			0.82456	
687.43	98.148			0.98148	
687.72	90.741			0.90741	
688.01	82.692			0.82692	
688.3	94			0.94	
688.59	70.37			0.7037	
688.88	89.362			0.89362	
689.17	95.556			0.95556	
689.46	100			1	
689.75	77.193			0.77193	
690.04	83.333			0.83333	
690.33	82.692			0.82692	
690.62	83.721			0.83721	
690.91	91.667			0.91667	
691.19	88.889			0.88889	
691.48	93.333			0.93333	
691.77	77.5			0.775	
692.06	87.805			0.87805	
692.34	81.633			0.81633	
692.63	85.366			0.85366	
692.92	100			1	
693.2	89.744			0.89744	
693.49	77.143			0.77143	
693.78	77.143			0.77143	
694.06	123.333			1.23333	
694.35	109.375			1.09375	
694.63	70.27			0.7027	
694.92	86.207			0.86207	
695.21	71.795			0.71795	
695.49	93.75			0.9375	
695.77	75			0.75	
696.06	70.968			0.70968	
696.34	71.875			0.71875	
696.63	84.615			0.84615	
696.91	81.25			0.8125	
697.19	78.788			0.78788	
697.48	80			0.8	
697.76	91.667			0.91667	
698.04	84			0.84	
698.33	117.391			1.17391	
698.61	115			1.15	
698.89	73.333			0.73333	
699.17	74.074			0.74074	
699.45	69.231			0.69231	
699.74	104.348			1.04348	
700.02	72.414			0.72414	
700.3	95.238			0.95238	
700.58	123.81			1.2381	
700.86	126.316			1.26316	
701.14	77.419			0.77419	
701.42	100			1	
701.7	77.778			0.77778	
701.98	71.429			0.71429	
702.26	116.667			1.16667	
702.54	87.5			0.875	
702.82	81.818			0.81818	
703.1	88.462			0.88462	
703.38	60			0.6	
703.65	46.667			0.46667	
