Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit	Wavelength (nm) - Tracé 2	Theorical Reflectance (0..1) - Tracé 2
481.83	147.97	534.75	0.589394	1.4797	
482.2	150.187	535.75	0.593474	1.50187	
482.57	152.222	536.75	0.600864	1.52222	
482.93	150.542	537.75	0.606244	1.50542	
483.3	146.786	538.75	0.611837	1.46786	
483.67	149.823	539.75	0.617671	1.49823	
484.03	148.649	540.75	0.623706	1.48649	
484.4	148.475	541.75	0.629908	1.48475	
484.77	154.333	542.75	0.636231	1.54333	
485.14	147.176	543.75	0.642677	1.47176	
485.5	148.693	544.75	0.649432	1.48693	
485.87	155.405	545.75	0.656002	1.55405	
486.24	146.933	546.75	0.662583	1.46933	
486.6	156.013	547.75	0.669403	1.56013	
486.97	147.432	548.75	0.675938	1.47432	
487.34	148.503	549.75	0.682622	1.48503	
487.7	149.552	550.75	0.689002	1.49552	
488.07	143.553	551.75	0.695492	1.43553	
488.44	149.856	552.75	0.701609	1.49856	
488.8	143.768	553.75	0.707779	1.43768	
489.17	147.863	554.75	0.713583	1.47863	
489.54	141.828	555.75	0.719385	1.41828	
489.9	143.989	556.75	0.724985	1.43989	
490.27	140.217	557.75	0.730352	1.40217	
490.63	142.935	558.75	0.735299	1.42935	
491	139.189	559.75	0.742313	1.39189	
491.37	142.895	560.75	0.746778	1.42895	
491.73	140.415	561.75	0.751023	1.40415	
492.1	140.519	562.75	0.75499	1.40519	
492.47	139.323	563.75	0.758668	1.39323	
492.83	142.216	564.75	0.762052	1.42216	
493.2	137.984	565.75	0.765136	1.37984	
493.56	135.661	566.75	0.767916	1.35661	
493.93	137.755	567.75	0.770389	1.37755	
494.3	136.132	568.75	0.772551	1.36132	
494.66	133.756	569.75	0.774401	1.33756	
495.03	140	570.75	0.775938	1.4	
495.39	138.107	571.75	0.77716	1.38107	
495.76	130.025	572.75	0.778278	1.30025	
496.12	131.343	573.75	0.778877	1.31343	
496.49	129.268	574.75	0.779162	1.29268	
496.86	129.95	575.75	0.779121	1.2995	
497.22	126.442	576.75	0.779009	1.26442	
497.59	126.812	577.75	0.778377	1.26812	
497.95	121.327	578.75	0.777425	1.21327	
498.32	123.684	579.75	0.776408	1.23684	
498.68	119.672	580.75	0.774887	1.19672	
