Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit
437.59	60.345	431.75	0.991136
437.96	64.062	432.75	0.982488
438.33	59.42	433.75	0.974054
438.69	57.895	434.75	0.966011
439.06	58.73	435.75	0.958407
439.43	74.603	436.75	0.951169
439.8	68.657	437.75	0.944161
440.17	59.375	438.75	0.937741
440.54	61.842	439.75	0.931638
440.91	60.274	440.75	0.925958
441.28	67.143	441.75	0.920488
441.65	72.368	442.75	0.91548
442.02	61.538	443.75	0.910857
442.39	76	444.75	0.906637
442.76	65.385	445.75	0.902667
443.13	73.239	446.75	0.899108
443.5	67.47	447.75	0.895786
443.87	74.324	448.75	0.893302
444.24	66.667	449.75	0.891035
444.61	67.059	450.75	0.888766
444.98	67.778	451.75	0.886893
445.34	65.385	452.75	0.885218
445.71	69.318	453.75	0.883723
446.08	70.588	454.75	0.882628
446.45	62.5	455.75	0.881706
446.82	74.419	456.75	0.881144
447.19	77.647	457.75	0.88082
447.56	64.773	458.75	0.880696
447.93	70.652	459.75	0.882137
448.3	71.591	460.75	0.882303
448.67	74.725	461.75	0.882858
449.04	78.889	462.75	0.883571
449.41	67.368	463.75	0.884506
449.78	67.021	464.75	0.885538
450.15	70.833	465.75	0.886807
450.52	69	466.75	0.888105
450.88	71.287	467.75	0.889605
451.25	72.115	468.75	0.891323
451.62	72.816	469.75	0.893066
451.99	75.472	470.75	0.896692
452.36	72.222	471.75	0.898502
452.73	75.701	472.75	0.900486
453.1	76.699	473.75	0.902598
453.47	74.528	474.75	0.904822
453.84	67.273	475.75	0.907282
454.21	77.049	476.75	0.90953
454.58	75	477.75	0.91199
454.95	73.171	478.75	0.914455
455.31	73.643	479.75	0.916914
455.68	77.519	480.75	0.919365
456.05	71.654	481.75	0.921775
456.42	74.046	482.75	0.924454
456.79	80.159	483.75	0.928749
457.16	75.54	484.75	0.931203
457.53	80	485.75	0.933773
457.9	75.556	486.75	0.936237
458.27	76.692	487.75	0.938686
458.64	79.851	488.75	0.941274
459	88.235	489.75	0.943747
459.37	84.286	490.75	0.946203
459.74	85.106	491.75	0.948805
460.11	80.795	492.75	0.951174
460.48	87.681	493.75	0.953502
460.85	87.5	494.75	0.955869
461.22	87.586	495.75	0.958247
461.59	83.553	496.75	0.9619
461.96	83.007	497.75	0.964101
462.32	89.655	498.75	0.96621
462.69	88.889	499.75	0.968246
463.06	91.275	500.75	0.970202
463.43	90.26	501.75	0.97231
463.8	83.766	502.75	0.974071
464.17	83.766	503.75	0.976025
464.54	83.553	504.75	0.977886
464.9	85.976	505.75	0.9794
465.27	87.342	506.75	0.981062
465.64	94.118	507.75	0.982653
466.01	87.097	508.75	0.984201
466.38	93.671	509.75	0.985795
466.75	90.857	510.75	0.987103
467.12	91.515	511.75	0.989442
467.48	98.734	512.75	0.990476
467.85	94.012	513.75	0.991677
468.22	92.638	514.75	0.992792
468.59	92.09	515.75	0.993688
468.96	93.75	516.75	0.994658
469.33	95.152	517.75	0.995531
469.69	93.889	518.75	0.996292
470.06	100.585	519.75	0.99691
470.43	90.27	520.75	0.997433
470.8	97.753	521.75	0.997912
471.17	96	522.75	0.998514
471.54	94.634	523.75	0.998778
471.9	96.354	524.75	0.999211
472.27	96.875	525.75	0.999298
472.64	97.449	526.75	0.999551
473.01	106.704	527.75	0.999709
473.38	101.515	528.75	1
473.74	104.04	529.75	0.999921
474.11	101.435	530.75	0.999778
474.48	98.507	531.75	0.999548
474.85	98.077	532.75	0.999232
475.22	100.476	533.75	0.99883
475.58	97.642	534.75	0.998344
475.95	109.906	535.75	0.997772
476.32	106.944	536.75	0.997258
476.69	104.072	537.75	0.996618
477.05	108.372	538.75	0.9958
477.42	103.54	539.75	0.995115
477.79	106.14	540.75	0.994155
478.16	105.957	541.75	0.993196
478.52	105.932	542.75	0.992199
478.89	106.987	543.75	0.991212
479.26	108.439	544.75	0.989929
479.63	111.255	545.75	0.988821
479.99	114.286	546.75	0.987612
480.36	115.261	547.75	0.985994
480.73	109.375	548.75	0.984583
481.1	112.741	549.75	0.983122
481.46	114.229	550.75	0.981605
481.83	107.38	551.75	0.980026
482.2	109.738	552.75	0.978378
482.57	110.37	553.75	0.976625
482.93	114.079	554.75	0.974978
483.3	113.571	555.75	0.973071
483.67	114.488	556.75	0.971322
484.03	112.5	557.75	0.969317
484.4	114.576	558.75	0.96724
484.77	113.333	559.75	0.965261
485.14	114.618	560.75	0.963242
485.5	116.34	561.75	0.961233
485.87	118.581	562.75	0.958929
486.24	112.27	563.75	0.956731
486.6	118.354	564.75	0.95454
486.97	114.502	565.75	0.952216
487.34	117.365	566.75	0.949923
487.7	121.791	567.75	0.947407
488.07	116.046	568.75	0.944444
488.44	118.156	569.75	0.941988
488.8	120.87	570.75	0.939489
489.17	117.664	571.75	0.936927
489.54	118.56	572.75	0.934299
489.9	117.486	573.75	0.93161
490.27	116.304	574.75	0.928846
490.63	121.739	575.75	0.926052
491	121.081	576.75	0.923499
491.37	120.263	577.75	0.92062
491.73	119.948	578.75	0.917693
492.1	120	579.75	0.915036
492.47	123.958	580.75	0.912041
492.83	124.274	581.75	0.909273
493.2	124.031	582.75	0.90621
493.56	120.948	583.75	0.903386
493.93	120.918	584.75	0.900243
494.3	126.463	585.75	0.897322
494.66	122.335	586.75	0.894139
495.03	130.649	587.75	0.891159
495.39	128.389	588.75	0.888156
495.76	123.325	589.75	0.885118
496.12	123.881	590.75	0.881784
496.49	125.61	591.75	0.877855
496.86	130.446	592.75	0.87476
497.22	122.115	593.75	0.87162
497.59	126.087	594.75	0.868455
497.95	120.616	595.75	0.865269
498.32	128.23	596.75	0.862064
498.68	122.717	597.75	0.858838
499.05	125.666	598.75	0.855596
499.41	130.542	599.75	0.852335
499.78	128.019	600.75	0.849059
500.14	127.078	601.75	0.845768
500.51	127.358	602.75	0.842463
500.87	125.287	603.75	0.839144
501.24	123.908	604.75	0.836061
501.6	124.146	605.75	0.832724
501.97	126.512	606.75	0.829375
502.33	130.14	607.75	0.825998
502.7	128.873	608.75	0.822893
503.06	127.65	609.75	0.819527
503.43	126.196	610.75	0.816135
503.79	125.799	611.75	0.813011
504.16	131.075	612.75	0.809637
504.52	128.864	613.75	0.806516
504.88	125.602	614.75	0.803099
505.25	133.257	615.75	0.79974
505.61	127.193	616.75	0.796569
505.98	130.337	617.75	0.793466
506.34	131.938	618.75	0.78914
506.71	134.598	619.75	0.786008
507.07	129.039	620.75	0.782588
507.43	132.671	621.75	0.779482
507.8	133.333	622.75	0.776166
508.16	134.211	623.75	0.773019
508.53	134.848	624.75	0.769926
508.89	128.571	625.75	0.766563
509.25	130.882	626.75	0.763508
509.62	132.708	627.75	0.760458
509.98	130.591	628.75	0.75723
510.34	131.942	629.75	0.754155
510.71	129.835	630.75	0.751048
511.07	133.404	631.75	0.748037
511.43	136.287	632.75	0.745026
511.8	131.846	633.75	0.742018
512.16	133.814	634.75	0.738811
512.52	130.567	635.75	0.73585
512.89	137.161	636.75	0.732916
513.25	134.49	637.75	0.73003
513.61	133.134	638.75	0.727165
513.98	131.008	639.75	0.724281
514.34	136.255	640.75	0.721416
514.7	133.658	641.75	0.718567
515.07	130.667	642.75	0.715736
515.43	133.138	643.75	0.712925
515.79	133.719	644.75	0.710136
516.15	137.427	645.75	0.707369
516.52	132.961	646.75	0.704627
516.88	132.156	647.75	0.70191
517.24	134.27	648.75	0.699227
517.6	132.597	649.75	0.696775
517.97	135.622	650.75	0.693463
518.33	132.613	651.75	0.690928
518.69	132.442	652.75	0.688373
519.05	132.682	653.75	0.685871
519.41	133.568	654.75	0.683392
519.78	136.559	655.75	0.680913
520.14	134.031	656.75	0.678465
520.5	133.619	657.75	0.676244
520.86	132.363	658.75	0.673876
521.22	135.103	659.75	0.671686
521.58	135.906	660.75	0.669359
521.95	134.276	661.75	0.667059
522.31	135.073	662.75	0.664891
522.67	130.463	663.75	0.662683
523.03	134.029	664.75	0.660734
523.39	139.706	665.75	0.658585
523.75	133.856	666.75	0.656477
524.11	133.801	667.75	0.654397
524.47	136.769	668.75	0.652594
524.84	137.273	669.75	0.650631
525.2	134.586	670.75	0.648636
525.56	132.703	671.75	0.646898
525.92	139.94	672.75	0.64509
526.28	132.133	673.75	0.643193
526.64	138.27	674.75	0.641512
527	133.708	675.75	0.639859
527.36	135.385	676.75	0.63807
527.72	134.855	677.75	0.636446
528.08	135.172	678.75	0.634918
528.44	132.93	679.75	0.633234
528.8	134.812	680.75	0.631707
529.16	133.68	681.75	0.630325
529.52	133.036	682.75	0.628811
529.88	134.788	683.75	0.627521
530.24	133.796	684.75	0.626067
530.6	135.878	685.75	0.624762
530.96	130.769	686.75	0.623371
