Lambda	Reflectivite
825.17	233.333
825.13	150
825.09	150
825.05	150
825	266.667
824.96	133.333
824.92	0
824.87	75
824.83	33.333
824.78	166.667
824.74	40
824.69	-50
824.65	-150
824.6	0
824.55	0
824.5	-25
824.46	-300
824.41	-28.571
824.36	166.667
824.31	33.333
824.26	-33.333
824.21	300
824.15	100
824.1	500
824.05	300
824	-300
823.94	-500
823.89	175
823.84	-25
823.78	-200
823.73	175
823.67	20
823.61	-100
823.56	100
823.5	0
823.44	0
823.38	100
823.32	-100
823.26	20
823.2	100
823.14	0
823.08	0
823.02	0
822.96	-100
822.9	0
822.83	80
822.77	66.667
822.71	-100
822.64	200
822.58	0
822.51	100
822.45	0
822.38	600
822.31	33.333
822.24	133.333
822.18	0
822.11	25
822.04	0
821.97	-50
821.9	300
821.83	200
821.76	0
821.69	800
821.61	100
821.54	57.143
821.47	350
821.39	100
821.32	-50
821.25	200
821.17	150
821.09	-200
821.02	-150
820.94	-600
820.86	160
820.79	0
820.71	0
820.63	0
820.55	71.429
820.47	-50
820.39	0
820.31	0
820.23	0
820.15	28.571
820.06	80
819.98	400
819.9	80
819.81	100
819.73	33.333
819.64	0
819.56	87.5
819.47	200
819.39	-600
819.3	133.333
819.21	125
819.12	0
819.04	-20
818.95	-66.667
818.86	50
818.77	0
818.68	150
818.59	0
818.49	166.667
818.4	-200
818.31	100
818.22	33.333
818.12	160
818.03	0
817.93	77.778
817.84	50
817.74	0
817.64	150
817.55	22.222
817.45	-150
817.35	16.667
817.25	0
817.15	75
817.06	0
