Lambda	Reflectivite
499.78	43.005
500.14	41.969
500.51	41.432
500.87	39.599
501.24	39.599
501.6	43.782
501.97	44.529
502.33	40.722
502.7	41.31
503.06	43.392
503.43	42.025
503.79	43.896
504.16	39.9
504.52	42.647
504.88	39.277
505.25	41.25
505.61	41.429
505.98	43.062
506.34	45.61
506.71	43.204
507.07	42.925
507.43	44.418
507.8	43.269
508.16	42.227
508.53	42.105
508.89	42.453
509.25	42.141
509.62	43.567
509.98	41.136
510.34	42.759
510.71	41.518
511.07	43.409
511.43	41.704
511.8	43.274
512.16	44.743
512.52	42.291
512.89	41.113
513.25	41.015
513.61	42.299
513.98	46.171
514.34	42.644
514.7	42.138
515.07	41.788
515.43	45.032
515.79	42.558
516.15	41.071
516.52	43.711
516.88	40.619
517.24	42.974
517.6	43.287
517.97	43.874
518.33	42.747
518.69	43.738
519.05	41.603
519.41	43.103
519.78	44.078
520.14	42.964
520.5	43.902
520.86	44.424
521.22	45.488
521.58	43.816
521.95	45.065
522.31	43.706
522.67	45.893
523.03	42.808
523.39	44.483
523.75	43.75
524.11	42.105
524.47	42.39
524.84	43.811
525.2	44.013
525.56	44.302
525.92	43.956
526.28	44.688
526.64	41.945
527	42.729
527.36	44.828
527.72	44.624
528.08	44.556
528.44	45.974
528.8	44.978
529.16	43.646
529.52	44.648
529.88	45.228
530.24	45.89
530.6	43.85
530.96	42.952
531.32	44.156
531.68	44.01
532.04	43.726
532.4	43.875
532.76	44.26
533.12	46.296
533.48	45.288
533.84	44.938
534.2	44.076
534.55	43.652
534.91	44.418
535.27	45.109
535.63	45.559
535.99	46.199
536.35	45.8
536.71	45.602
537.07	45.257
537.42	43.833
537.78	45.078
538.14	46.171
538.5	45.662
538.86	45.683
539.21	44.794
539.57	46.868
539.93	45.806
540.29	45
540.64	46.032
541	45.165
541.36	44.071
541.72	45.361
542.07	46.632
542.43	46.949
542.79	46.751
543.15	46.146
543.5	43.063
543.86	45.118
544.22	46.25
544.57	45.37
544.93	46.114
545.29	46.985
545.64	46.968
546	45.566
546.35	47.959
546.71	46.146
547.07	47.189
547.42	46.45
547.78	46.436
548.13	46.045
548.49	46.761
548.85	47.782
549.2	47.059
549.56	46.959
549.91	48.682
550.27	47.189
550.62	49.074
550.98	47.992
551.33	47.666
551.69	48.182
552.04	49.251
552.4	48.313
552.75	49.849
553.11	49.444
553.46	48.534
553.81	52.053
554.17	49.696
554.52	50.961
554.88	48.416
555.23	50.049
555.58	49.803
555.94	50.833
556.29	51.655
556.65	50.247
557	51.748
557.35	51.415
557.71	52.11
558.06	52.148
558.41	52.148
558.76	51.798
559.12	52.663
559.47	53.156
559.82	51.357
560.18	52.376
560.53	52.712
560.88	53.698
561.23	52.807
561.58	55.104
561.94	54.334
562.29	54.64
562.64	55.357
562.99	54.647
563.34	54.977
563.7	55.464
564.05	56.789
564.4	56.033
564.75	57.689
565.1	56.471
565.45	58.183
565.8	56.836
566.15	57.668
566.5	58.481
566.85	58.75
567.2	60.603
567.56	59.091
567.91	59.434
568.26	60.51
568.61	60.204
568.96	60.788
569.31	63.692
569.66	62.057
570	62.005
570.35	63.384
570.7	62.28
571.05	62.747
571.4	64.386
571.75	64.286
572.1	65.171
572.45	62.36
572.8	65.101
573.15	64.878
573.5	64.419
573.84	67.175
574.19	66.12
574.54	67.502
574.89	67.288
575.24	68.253
575.58	69.599
575.93	68.788
576.28	71.495
576.63	70.166
576.97	70.938
