Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit
436.48	158.621	393.35	0.964437
436.85	159.091	394.35	0.96809
437.22	148.438	395.35	0.971532
437.59	153.448	396.35	0.974878
437.96	156.25	397.35	0.97814
438.33	150.725	398.35	0.981235
438.69	135.526	399.35	0.983832
439.06	160.317	400.35	0.988631
439.43	165.079	401.35	0.990988
439.8	152.239	402.35	0.99311
440.17	151.562	403.35	0.994841
440.54	128.947	404.35	0.996381
440.91	150.685	405.35	0.99766
441.28	155.714	406.35	0.998689
441.65	144.737	407.35	0.999337
442.02	144.872	408.35	0.999737
442.39	146.667	409.35	0.999743
442.76	144.872	410.35	1
443.13	146.479	411.35	0.999632
443.5	131.325	412.35	0.998604
443.87	147.297	413.35	0.997335
444.24	139.744	414.35	0.995668
444.61	140	415.35	0.993595
444.98	130	416.35	0.991311
445.34	135.897	417.35	0.988634
445.71	129.545	418.35	0.985734
446.08	128.235	419.35	0.982518
446.45	126.25	420.35	0.979003
446.82	126.744	421.35	0.974703
447.19	129.412	422.35	0.970348
447.56	123.864	423.35	0.965818
447.93	118.478	424.35	0.960982
448.3	117.045	425.35	0.955908
448.67	127.473	426.35	0.950506
449.04	118.889	427.35	0.944911
449.41	118.947	428.35	0.938963
449.78	109.574	429.35	0.932826
450.15	116.667	430.35	0.926534
450.52	111	431.35	0.919871
450.88	111.881	432.35	0.911649
451.25	111.538	433.35	0.904681
451.62	115.534	434.35	0.897361
451.99	108.491	435.35	0.889906
452.36	100.926	436.35	0.882325
452.73	101.869	437.35	0.874743
453.1	103.883	438.35	0.866799
453.47	107.547	439.35	0.858877
453.84	96.364	440.35	0.850819
454.21	99.18	441.35	0.842638
454.58	91.667	442.35	0.834354
454.95	99.187	443.35	0.825962
455.31	93.023	444.35	0.81768
455.68	94.574	445.35	0.807443
456.05	85.827	446.35	0.799149
456.42	93.13	447.35	0.790831
456.79	95.238	448.35	0.782456
457.16	89.928	449.35	0.774132
457.53	86.923	450.35	0.766009
457.9	81.481	451.35	0.757893
