Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit
458.27	84.962	452.35	0.749889
458.64	87.313	453.35	0.742155
459	83.824	454.35	0.73439
459.37	76.429	455.35	0.726776
459.74	85.106	456.35	0.719402
460.11	75.497	457.35	0.71222
460.48	84.058	458.35	0.703812
460.85	78.472	459.35	0.697085
461.22	78.621	460.35	0.690591
461.59	73.026	461.35	0.684321
461.96	72.549	462.35	0.678291
462.32	77.931	463.35	0.672709
462.69	75	464.35	0.667169
463.06	77.852	465.35	0.662134
463.43	70.779	466.35	0.657374
463.8	66.883	467.35	0.652688
464.17	68.831	468.35	0.648494
464.54	62.5	469.35	0.644616
464.9	64.634	470.35	0.641082
465.27	65.823	471.35	0.637971
465.64	71.242	472.35	0.634981
466.01	69.677	473.35	0.632351
466.38	65.19	474.35	0.630158
466.75	57.714	475.35	0.6284
467.12	60	476.35	0.626959
467.48	59.494	477.35	0.625718
467.85	56.287	478.35	0.624916
468.22	60.736	479.35	0.624407
468.59	57.062	480.35	0.624172
468.96	56.25	481.35	0.624179
469.33	61.818	482.35	0.62446
469.69	60	483.35	0.625047
470.06	56.725	484.35	0.62607
470.43	55.676	485.35	0.627139
470.8	50.562	486.35	0.628661
471.17	52.571	487.35	0.630201
471.54	51.22	488.35	0.63217
471.9	48.958	489.35	0.634371
472.27	52.604	490.35	0.63811
472.64	49.49	491.35	0.640574
473.01	52.514	492.35	0.643348
473.38	51.515	493.35	0.646276
473.74	50	494.35	0.649348
474.11	48.804	495.35	0.652552
474.48	48.756	496.35	0.655877
474.85	44.712	497.35	0.659309
475.22	45.714	498.35	0.662955
475.58	50.472	499.35	0.666652
475.95	46.226	500.35	0.670342
476.32	48.148	501.35	0.674273
476.69	43.439	502.35	0.678094
477.05	46.047	503.35	0.682024
477.42	48.23	504.35	0.686019
477.79	48.684	505.35	0.690109
478.16	46.809	506.35	0.694029
478.52	43.644	507.35	0.698164
478.89	50.218	508.35	0.702136
479.26	43.46	509.35	0.708028
479.63	51.948	510.35	0.712078
479.99	47.479	511.35	0.716093
480.36	46.185	512.35	0.720077
480.73	48.047	513.35	0.724021
481.1	49.807	514.35	0.72791
481.46	47.431	515.35	0.731707
481.83	45.387	516.35	0.735582
482.2	45.318	517.35	0.739222
482.57	48.148	518.35	0.742972
482.93	47.653	519.35	0.746476
483.3	46.786	520.35	0.749886
483.67	49.47	521.35	0.753338
484.03	49.324	522.35	0.756712
484.4	48.136	523.35	0.760045
484.77	51	524.35	0.763075
485.14	48.837	525.35	0.766137
485.5	48.366	526.35	0.769143
485.87	52.703	527.35	0.771972
486.24	47.853	528.35	0.774759
486.6	52.848	529.35	0.777111
486.97	52.266	530.35	0.781001
487.34	53.293	531.35	0.78344
487.7	52.239	532.35	0.785715
488.07	52.436	533.35	0.787855
488.44	50.72	534.35	0.789853
488.8	52.464	535.35	0.791712
489.17	54.416	536.35	0.793419
489.54	52.909	537.35	0.795009
489.9	50	538.35	0.796713
490.27	54.348	539.35	0.798046
490.63	56.25	540.35	0.799243
491	59.189	541.35	0.800575
491.37	55.263	542.35	0.801522
491.73	56.218	543.35	0.802567
492.1	58.442	544.35	0.80326
492.47	57.812	545.35	0.80406
492.83	58.839	546.35	0.804487
493.2	62.016	547.35	0.805006
493.56	59.102	548.35	0.8052
493.93	61.735	549.35	0.805468
494.3	60.051	550.35	0.805616
494.66	62.437	551.35	0.805634
495.03	64.156	552.35	0.80531
495.39	64.962	553.35	0.805218
495.76	64.516	554.35	0.804825
496.12	63.93	555.35	0.804314
496.49	66.341	556.35	0.803684
496.86	62.871	557.35	0.802938
497.22	67.548	558.35	0.802076
497.59	66.667	559.35	0.801098
497.95	65.877	560.35	0.800008
498.32	67.464	561.35	0.798806
498.68	64.871	562.35	0.797494
499.05	68.765	563.35	0.796074
499.41	71.429	564.35	0.794546
499.78	69.082	565.35	0.792913
500.14	71.496	566.35	0.79139
500.51	70.519	567.35	0.789555
500.87	68.046	568.35	0.787619
501.24	72.874	569.35	0.785568
501.6	71.526	570.35	0.783663
501.97	76.279	571.35	0.781443
502.33	72.897	572.35	0.779115
502.7	75.352	573.35	0.776932
503.06	77.65	574.35	0.774448
503.43	75.854	575.35	0.7721
503.79	76.712	576.35	0.769413
504.16	80.14	577.35	0.766695
504.52	80.909	578.35	0.764062
504.88	77.243	579.35	0.761415
505.25	82.688	580.35	0.757487
505.61	78.947	581.35	0.754625
505.98	83.371	582.35	0.751443
506.34	81.278	583.35	0.748461
506.71	82.812	584.35	0.745227
507.07	81.878	585.35	0.742073
507.43	84.327	586.35	0.738899
507.8	85.333	587.35	0.735425
508.16	89.035	588.35	0.732155
508.53	88.528	589.35	0.72883
508.89	85.714	590.35	0.72529
509.25	84.664	591.35	0.721827
509.62	88.542	592.35	0.71828
509.98	89.241	593.35	0.714762
510.34	88.309	594.35	0.711193
510.71	88.683	595.35	0.707577
511.07	92.812	596.35	0.70374
511.43	93.671	597.35	0.700072
511.8	92.901	598.35	0.696384
512.16	95.876	599.35	0.692696
512.52	91.7	600.35	0.688986
512.89	98.747	601.35	0.685224
513.25	96.939	602.35	0.681441
513.61	94.81	603.35	0.677641
513.98	93.992	604.35	0.673825
514.34	99.402	605.35	0.669998
514.7	95.914	606.35	0.666163
515.07	95.238	607.35	0.662324
515.43	97.661	608.35	0.658484
515.79	100.963	609.35	0.654647
516.15	101.559	610.35	0.650821
516.52	99.255	611.35	0.647171
516.88	100.186	612.35	0.642011
517.24	101.311	613.35	0.638321
517.6	102.394	614.35	0.634556
517.97	102.783	615.35	0.63083
518.33	101.441	616.35	0.627122
518.69	101.961	617.35	0.623411
519.05	102.309	618.35	0.619729
519.41	104.218	619.35	0.616246
519.78	105.735	620.35	0.612641
520.14	106.108	621.35	0.609197
520.5	106.518	622.35	0.605644
520.86	104.452	623.35	0.602125
521.22	108.39	624.35	0.598734
521.58	106.376	625.35	0.595323
521.95	109.151	626.35	0.592154
522.31	109.625	627.35	0.58883
522.67	105.901	628.35	0.585562
523.03	108.989	629.35	0.582342
523.39	112.418	630.35	0.579385
523.75	108.15	631.35	0.576316
524.11	107.321	632.35	0.573247
524.47	110	633.35	0.570428
524.84	110.152	634.35	0.56758
525.2	111.429	635.35	0.564689
525.56	106.105	636.35	0.562017
525.92	116.066	637.35	0.559405
526.28	111.816	638.35	0.556713
526.64	116.569	639.35	0.5542
527	112.079	640.35	0.551808
527.36	113.706	641.35	0.549324
527.72	115.353	642.35	0.547015
528.08	116.414	643.35	0.544873
528.44	113.306	644.35	0.542662
528.8	115.995	645.35	0.540686
529.16	113.524	646.35	0.538625
529.52	113.52	647.35	0.53638
529.88	115.533	648.35	0.534474
530.24	116.267	649.35	0.532659
530.6	118.448	650.35	0.531127
530.96	116.239	651.35	0.529468
531.32	117.509	652.35	0.528093
531.68	118.72	653.35	0.526599
532.04	121.256	654.35	0.525378
532.4	115.312	655.35	0.524051
532.76	119.668	656.35	0.522983
533.12	118.014	657.35	0.521833
533.48	119.425	658.35	0.520933
533.84	117.7	659.35	0.520095
534.2	118.315	660.35	0.519194
534.55	119.479	661.35	0.5185
534.91	120.179	662.35	0.517769
535.27	120.437	663.35	0.51722
535.63	119.936	664.35	0.516826
535.99	119.231	665.35	0.516324
536.35	119.535	666.35	0.515994
536.71	122.378	667.35	0.515687
537.07	120.251	668.35	0.515566
537.42	120.207	669.35	0.515455
537.78	120.44	670.35	0.515387
538.14	124.192	671.35	0.515488
538.5	121.779	672.35	0.515581
538.86	125.077	673.35	0.515867
539.21	122.62	674.35	0.516068
539.57	122.984	675.35	0.516326
539.93	122.234	676.35	0.516819
540.29	124.42	677.35	0.51727
540.64	125.226	678.35	0.517855
541	123.61	679.35	0.518374
541.36	126.316	680.35	0.519124
541.72	123.824	681.35	0.519941
542.07	123.002	682.35	0.520695
542.43	119.621	683.35	0.521592
542.79	124.66	684.35	0.522402
543.15	125.147	685.35	0.523448
543.5	121.842	686.35	0.524554
543.86	126.453	687.35	0.525687
544.22	128.655	688.35	0.526793
544.57	122.849	689.35	0.528023
544.93	124.135	690.35	0.529308
545.29	123.225	691.35	0.530403
545.64	124.298	692.35	0.532851
546	126.054	693.35	0.534327
546.35	126.628	694.35	0.535816
546.71	123.791	695.35	0.537364
547.07	126.673	696.35	0.538962
547.42	125.831	697.35	0.540572
547.78	126.261	698.35	0.542219
548.13	125.912	699.35	0.543902
548.49	128.089	700.35	0.545619
548.85	126.44	701.35	0.547369
549.2	125.806	702.35	0.54915
549.56	127.694	703.35	0.550961
549.91	127.531	704.35	0.552788
550.27	125.024	705.35	0.55463
550.62	127.56	706.35	0.556523
550.98	126.168	707.35	0.55844
551.33	127.629	708.35	0.560382
551.69	123.738	709.35	0.562541
552.04	123.469	710.35	0.564522
552.4	126.05	711.35	0.566521
552.75	125.232	712.35	0.568576
553.11	124.647	713.35	0.570614
553.46	121.223	714.35	0.572652
553.81	125.166	715.35	0.574693
554.17	125.636	716.35	0.576768
554.52	122.656	717.35	0.57906
554.88	125.282	718.35	0.581153
555.23	127.333	719.35	0.583281
555.58	125.187	720.35	0.585388
555.94	125.658	721.35	0.58749
556.29	124.071	722.35	0.589823
556.65	124.79	723.35	0.591947
557	121.98	724.35	0.594093
557.35	123.014	725.35	0.59622
557.71	124.037	726.35	0.598339
558.06	125.023	727.35	0.600685
558.41	125.916	728.35	0.602825
558.76	122.323	729.35	0.604949
559.12	122.569	730.35	0.607065
559.47	122.523	731.35	0.609402
559.82	123.294	732.35	0.611519
560.18	123.566	733.35	0.613624
560.53	123.684	734.35	0.615944
560.88	122.56	735.35	0.618039
561.23	121.886	736.35	0.620122
561.58	122.232	737.35	0.622418
561.94	122.531	738.35	0.62448
562.29	121.809	739.35	0.626533
562.64	120.753	740.35	0.628579
562.99	118.804	741.35	0.630824
563.34	120.435	742.35	0.632839
563.7	122.435	743.35	0.635071
564.05	124.168	744.35	0.637052
564.4	120.378	745.35	0.639023
564.75	120.086	746.35	0.641212
565.1	119.932	747.35	0.643147
565.45	120.901	748.35	0.64508
565.8	119.282	749.35	0.647208
566.15	121.957	750.35	0.64909
566.5	121.154	751.35	0.650971
566.85	121.841	752.35	0.65303
567.2	116.969	753.35	0.654861
567.56	120.759	754.35	0.656924
567.91	118.75	755.35	0.659841
568.26	121.417	756.35	0.661594
568.61	119.579	757.35	0.663541
568.96	118.826	758.35	0.665256
569.31	116.401	759.35	0.667187
569.66	117.346	760.35	0.668851
570	118.636	761.35	0.670508
570.35	118.175	762.35	0.672349
570.7	115.978	763.35	0.673958
571.05	113.854	764.35	0.675753
571.4	117.268	765.35	0.677307
571.75	115.579	766.35	0.679067
572.1	117.702	767.35	0.68057
572.45	115.216	768.35	0.682049
572.8	117.06	769.35	0.683733
573.15	113.948	770.35	0.685163
573.5	115.222	771.35	0.686796
573.84	112.956	772.35	0.688175
574.19	114.424	773.35	0.689737
574.54	113.189	774.35	0.691077
574.89	114.37	775.35	0.692365
575.24	110.909	776.35	0.693881
575.58	114.349	777.35	0.695112
575.93	112.729	778.35	0.696593
576.28	111.398	779.35	0.697783
576.63	111.262	780.35	0.699112
576.97	109.618	781.35	0.700314
577.32	111.929	782.35	0.701576
577.67	109.43	783.35	0.702738
578.02	110.79	784.35	0.703781
578.36	109.554	785.35	0.705091
578.71	109.135	786.35	0.706079
579.06	108.443	787.35	0.707306
579.4	108.846	788.35	0.708239
579.75	109.041	789.35	0.709211
580.1	107.114	790.35	0.710285
580.44	107.97	791.35	0.711179
580.79	107.052	792.35	0.712224
581.13	106.684	793.35	0.713042
581.48	105.253	794.35	0.714045
581.83	106.246	795.35	0.714819
582.17	104.937	796.35	0.715734
582.52	107.325	797.35	0.716483
582.86	105.89	798.35	0.717144
583.21	106.026	799.35	0.718045
583.55	104.021	800.35	0.718657
583.9	104.501	801.35	0.719527
584.24	102.964	802.35	0.720076
584.59	102.364	803.35	0.720854
584.93	103.39	804.35	0.721365
585.28	101.307	805.35	0.721836
585.62	102.283	806.35	0.722547
585.97	102.674	807.35	0.722965
586.31	101.821	808.35	0.723655
586.65	100.762	809.35	0.724017
587	102.359	810.35	0.724612
587.34	101.426	811.35	0.724934
587.69	101.823	812.35	0.725419
588.03	101.093	813.35	0.725744
588.37	97.248	814.35	0.725986
588.72	98.404	815.35	0.726459
589.06	98.348	816.35	0.726667
589.4	99.871	817.35	0.727085
589.75	97.367	818.35	0.727232
590.09	95.924	819.35	0.727608
590.43	97.247	820.35	0.727686
590.77	94.501	821.35	0.727974
591.12	95.417	822.35	0.728042
591.46	94.359	823.35	0.728157
591.8	95.587	824.35	0.728303
592.14	94.121	825.35	0.728264
592.49	94.801	826.35	0.728459
592.83	91.846	827.35	0.728379
593.17	94.042	828.35	0.728531
593.51	92.347	829.35	0.728418
593.85	91.779	830.35	0.728494
594.19	90.823	831.35	0.728334
594.54	90.933	832.35	0.728393
594.88	88.783	833.35	0.728168
595.22	90.325	834.35	0.728163
595.56	90.516	835.35	0.727908
595.9	89.593	836.35	0.727848
596.24	88.867	837.35	0.727554
596.58	89.337	838.35	0.727448
596.92	88.492	839.35	0.72711
597.26	87.956	840.35	0.726969
597.6	86.328	841.35	0.726568
597.94	86.393	842.35	0.726284
598.28	86.32	843.35	0.725823
598.62	86.615	844.35	0.725595
598.96	85.724	845.35	0.725342
599.3	84.348	846.35	0.72483
599.64	84.551	847.35	0.724523
599.98	83.409	848.35	0.723968
600.32	82.572	849.35	0.723634
600.65	82.203	850.35	0.723257
600.99	82.337	851.35	0.722662
601.33	81.368	852.35	0.722265
601.67	82.609	853.35	0.721596
602.01	82.065	854.35	0.721174
602.35	80.395	855.35	0.720719
602.69	79.581	856.35	0.719983
603.02	79.829	857.35	0.719513
603.36	79.392	858.35	0.719
603.7	77.857	859.35	0.71825
604.04	78.784	860.35	0.717686
604.37	78.175	861.35	0.717118
604.71	77.362	862.35	0.716534
605.05	76.544	863.35	0.715681
605.38	76.087	864.35	0.715076
605.72	75.279	865.35	0.714438
606.06	75.862	866.35	0.713783
606.39	77.097	867.35	0.713113
606.73	73.029	868.35	0.71219
607.07	74.408	869.35	0.711487
607.4	74.472	870.35	0.710767
607.74	72.721	871.35	0.71003
608.08	72.498	872.35	0.709278
608.41	72.16	873.35	0.70851
608.75	71.466	874.35	0.707727
609.08	71.145	875.35	0.706929
609.42	69.577	876.35	0.706117
609.75	70.223	877.35	0.705061
610.09	69.804	878.35	0.704213
610.42	69.169	879.35	0.703357
610.76	70.013	880.35	0.702732
611.09	69.11	881.35	0.701832
611.43	67.058	882.35	0.700934
611.76	67.339		
612.09	67.146		
612.43	67.845		
612.76	67.084		
613.1	64.537		
613.43	64.157		
613.76	64.444		
614.1	64.487		
614.43	65.155		
614.76	62.364		
615.09	63.945		
615.43	63.032		
615.76	61.933		
616.09	62.782		
616.42	60.676		
616.76	63.117		
617.09	60.165		
617.42	59.565		
617.75	59.744		
618.08	59.454		
618.41	59.172		
618.75	55.987		
619.08	58.423		
619.41	57.582		
619.74	55.967		
620.07	57.043		
620.4	54.744		
620.73	55.549		
621.06	56.015		
621.39	53.971		
621.72	54.415		
622.05	54.648		
622.38	52.453		
622.71	52.974		
623.04	52.249		
623.37	52.256		
623.7	51.206		
624.02	50.429		
624.35	50.459		
624.68	50.519		
625.01	50.647		
625.34	49.344		
625.67	48.106		
625.99	48.509		
626.32	47.495		
626.65	47.488		
626.98	47.547		
627.3	47.773		
627.63	45.92		
627.96	47.687		
628.28	46.374		
628.61	45.089		
628.94	45.054		
629.26	45.103		
629.59	44.255		
629.91	43.876		
630.24	44.159		
630.57	43.373		
630.89	43.452		
631.22	42.823		
631.54	42.369		
631.87	42.796		
632.19	42.973		
632.52	41.299		
632.84	40.256		
633.16	40.557		
633.49	40.534		
633.81	40.426		
634.14	40.301		
634.46	39.949		
634.78	40.67		
635.11	38.871		
635.43	38.442		
635.75	39.034		
636.08	38.467		
636.4	38.947		
636.72	38.009		
637.04	38.288		
637.37	37.398		
637.69	37.395		
638.01	37.274		
638.33	36.775		
638.65	36.963		
638.97	37.418		
639.29	35.437		
639.62	37.158		
639.94	35.629		
640.26	35.462		
640.58	36.069		
640.9	35.323		
641.22	34.963		
641.54	33.579		
641.86	35.415		
642.18	33.446		
642.5	34.211		
642.82	33.572		
643.14	33.025		
643.45	33.644		
643.77	32.163		
644.09	32.849		
644.41	31.293		
644.73	30.524		
645.05	32.105		
645.36	31.373		
645.68	33.036		
646	31.305		
646.32	31.314		
646.63	30.211		
646.95	30.825		
647.27	32.147		
647.58	29.374		
647.9	31.455		
648.22	31.88		
648.53	30.704		
648.85	30.441		
649.17	30.149		
649.48	30.758		
649.8	29.751		
650.11	28.84		
650.43	29.617		
650.74	30.153		
651.06	27.768		
651.37	29.69		
651.68	28.864		
652	31.496		
652.31	28.18		
652.63	29.563		
652.94	27.088		
653.25	26.907		
653.57	28.105		
653.88	27.294		
654.19	28.604		
654.51	27.378		
654.82	29.44		
655.13	27.047		
655.44	26.904		
655.75	27.273		
656.07	29.679		
656.38	26.796		
656.69	26.225		
657	26.377		
657.31	25.994		
657.62	26.791		
657.93	25.397		
658.24	24.919		
658.55	27.213		
658.86	28.136		
659.17	26.389		
659.48	26.897		
659.79	28.102		
660.1	26.136		
660.41	26.394		
660.72	25.781		
661.03	23.387		
661.34	26.271		
661.65	25.6		
661.95	21.429		
662.26	25.424		
662.57	29.464		
662.88	27.778		
663.19	23.874		
663.49	26.087		
663.8	29.952		
664.11	28.788		
664.41	26.768		
664.72	25		
665.03	24.737		
665.33	25.521		
665.64	23.529		
665.94	22.286		
666.25	24.59		
666.56	22.778		
666.86	30.286		
667.17	22.674		
667.47	30.588		
667.77	26.22		
668.08	24.848		
668.38	27.673		
668.69	28.125		
668.99	26.115		
669.29	25.478		
669.6	28.378		
669.9	26.207		
670.2	27.211		
670.51	26.207		
670.81	23.022		
671.11	26.812		
671.41	25.547		
671.72	27.481		
672.02	27.907		
672.32	27.536		
672.62	24.806		
672.92	27.273		
673.22	24.194		
673.52	24.39		
673.82	29.268		
674.13	24.8		
674.43	27.826		
674.73	30.833		
675.03	20.69		
675.32	29.752		
675.62	29.915		
675.92	31.624		
676.22	25		
676.52	26.667		
676.82	34.862		
677.12	31.481		
677.42	25.714		
677.71	31.25		
678.01	31.731		
678.31	24.272		
678.61	30.612		
678.9	28.571		
679.2	34.444		
679.5	29.703		
679.79	31.959		
680.09	28.736		
680.39	24.691		
680.68	21.519		
680.98	23.656		
681.27	25.556		
681.57	29.487		
681.86	26.582		
682.16	30		
682.45	27.16		
682.75	34.94		
683.04	29.487		
683.34	25		
683.63	36.62		
683.92	40.299		
684.22	27.632		
684.51	36.232		
684.8	25.352		
685.1	29.577		
685.39	31.746		
685.68	28.358		
685.97	32.787		
686.26	34.426		
686.56	31.481		
686.85	33.871		
687.14	29.825		
687.43	38.889		
687.72	27.778		
688.01	40.385		
688.3	38		
688.59	35.185		
688.88	38.298		
689.17	28.889		
689.46	34.091		
689.75	29.825		
690.04	37.5		
690.33	34.615		
690.62	30.233		
690.91	41.667		
691.19	46.667		
691.48	46.667		
691.77	25		
692.06	36.585		
