Wavelength (nm) - Measure	Measured Reflectance (%)  - Measure	Wavelength (nm) - Fit	Theorical Reflectance (0..1) - Fit
534.2	126.854	496.75	0.917918
534.55	124.802	497.75	0.917029
534.91	126.233	498.75	0.915756
535.27	122.295	499.75	0.914869
535.63	123.794	500.75	0.913659
535.99	123.077	501.75	0.912753
536.35	122.07	502.75	0.911614
536.71	125.514	503.75	0.910632
537.07	123.069	504.75	0.909684
537.42	120.933	505.75	0.908441
537.78	124.423	506.75	0.907492
538.14	124.609	507.75	0.906527
538.5	122.393	508.75	0.905358
538.86	122.097	509.75	0.904323
539.21	123.439	510.75	0.903232
539.57	122.883	511.75	0.902215
539.93	123.046	512.75	0.901173
540.29	123.209	513.75	0.900108
540.64	122.613	514.75	0.898813
541	118.732	515.75	0.897744
541.36	122.344	516.75	0.896675
541.72	119.706	517.75	0.895628
542.07	120.273	518.75	0.894573
542.43	115.64	519.75	0.89347
542.79	119.126	520.75	0.892356
543.15	120.254	521.75	0.891229
543.5	115.67	522.75	0.890089
543.86	119.089	523.75	0.888937
544.22	120.078	524.75	0.887776
544.57	120.459	525.75	0.886605
544.93	120.192	526.75	0.885427
545.29	119.77	527.75	0.884241
545.64	119.555	528.75	0.883056
546	121.169	529.75	0.882082
546.35	118.853	530.75	0.880608
546.71	116.209	531.75	0.879427
547.07	117.531	532.75	0.878217
547.42	119.373	533.75	0.877025
547.78	117.793	534.75	0.875821
548.13	118.618	535.75	0.874578
548.49	118.629	536.75	0.873331
548.85	117.941	537.75	0.872283
549.2	115.844	538.75	0.871042
549.56	118.998	539.75	0.869949
549.91	118.259	540.75	0.868673
550.27	117.001	541.75	0.867386
550.62	117.99	542.75	0.866197
550.98	115.327	543.75	0.864927
551.33	117.4	544.75	0.86389
551.69	114.673	545.75	0.8626
552.04	115.492	546.75	0.861313
552.4	115.5	547.75	0.860015
552.75	114.378	548.75	0.858969
553.11	117.027	549.75	0.857711
553.46	112.326	550.75	0.856379
553.81	115.67	551.75	0.855277
554.17	116.023	552.75	0.854059
554.52	114.113	553.75	0.852705
554.88	115.226	554.75	0.851538
555.23	115.363	555.75	0.85036
555.58	112.873	556.75	0.848995
555.94	116.541	557.75	0.847763
556.29	113.011	558.75	0.84659
556.65	116.03	559.75	0.84521
557	109.173	560.75	0.843955
557.35	112.694	561.75	0.842812
557.71	113.028	562.75	0.841487
558.06	115.033	563.75	0.840357
558.41	113.095	564.75	0.839016
558.76	112.16	565.75	0.837567
559.12	112.844	566.75	0.836184
559.47	110.18	567.75	0.834809
559.82	112.375	568.75	0.833687
560.18	111.111	569.75	0.832306
560.53	113.612	570.75	0.831176
560.88	110.743	571.75	0.829793
561.23	111.655	572.75	0.82865
561.58	113.375	573.75	0.827271
561.94	110.862	574.75	0.826113
562.29	111.791	575.75	0.824748
562.64	108.144	576.75	0.823595
562.99	108.579	577.75	0.822417
563.34	109.478	578.75	0.821056
563.7	111.391	579.75	0.819855
564.05	110.245	580.75	0.818505
564.4	110.146	581.75	0.817282
564.75	110.043	582.75	0.816153
565.1	109.33	583.75	0.81479
565.45	111.47	584.75	0.813544
565.8	109.182	585.75	0.81223
566.15	110.213	586.75	0.811052
566.5	109.448	587.75	0.80979
566.85	110.711	588.75	0.808489
567.2	107.084	589.75	0.807306
567.56	107.764	590.75	0.806021
567.91	107.386	591.75	0.804887
568.26	107.917	592.75	0.803558
568.61	106.877	593.75	0.802212
568.96	108.965	594.75	0.801074
569.31	106.449	595.75	0.799798
569.66	107.914	596.75	0.798608
570	108.406	597.75	0.797252
570.35	107.606	598.75	0.796106
570.7	107.405	599.75	0.794964
571.05	104.721	600.75	0.793668
571.4	107.692	601.75	0.792475
571.75	107.521	602.75	0.791101
572.1	107.997	603.75	0.789949
572.45	104.542	604.75	0.788803
572.8	105.407	605.75	0.787623
573.15	106.479	606.75	0.786344
573.5	105.652	607.75	0.785155
573.84	105.212	608.75	0.78397
574.19	105.428	609.75	0.782601
574.54	104.993	610.75	0.781064
574.89	105.778	611.75	0.779874
575.24	104.364	612.75	0.778693
575.58	104.415	613.75	0.777532
575.93	105.121	614.75	0.776384
576.28	102.939	615.75	0.775202
576.63	104.277	616.75	0.774022
576.97	102.334	617.75	0.772841
577.32	106	618.75	0.771661
577.67	102.252	619.75	0.770482
578.02	103.456	620.75	0.769303
578.36	102.65	621.75	0.768125
578.71	102.076	622.75	0.766931
579.06	103.668	623.75	0.765725
579.4	103.041	624.75	0.76455
579.75	101.7	625.75	0.763374
580.1	101.71	626.75	0.762204
580.44	101.703	627.75	0.761271
580.79	100.672	628.75	0.760097
581.13	101.805	629.75	0.758926
581.48	100.798	630.75	0.7578
581.83	101.41	631.75	0.756636
582.17	99.078	632.75	0.755456
582.52	102.554	633.75	0.754264
582.86	102.844	634.75	0.753101
583.21	100.199	635.75	0.752184
583.55	101.252	636.75	0.751019
583.9	100.261	637.75	0.749887
584.24	100.593	638.75	0.748722
584.59	99.015	639.75	0.747544
584.93	98.696	640.75	0.746639
585.28	99.346	641.75	0.74548
585.62	100.652	642.75	0.744345
585.97	101.044	643.75	0.743188
586.31	98.765	644.75	0.742021
586.65	97.27	645.75	0.741126
587	100.131	646.75	0.739988
587.34	98.704	647.75	0.738838
587.69	99.284	648.75	0.737682
588.03	98.585	649.75	0.736794
588.37	96.498	650.75	0.735655
588.72	96.807	651.75	0.73451
589.06	96.379	652.75	0.733627
589.4	97.865	653.75	0.73249
589.75	97.688	654.75	0.731352
590.09	96.624	655.75	0.730475
590.43	97.503	656.75	0.729339
590.77	94.437	657.75	0.728207
591.12	97.072	658.75	0.727083
591.46	98.141	659.75	0.726205
591.8	96.171	660.75	0.725079
592.14	96.124	661.75	0.724221
592.49	95.186	662.75	0.72309
592.83	94.185	663.75	0.721968
593.17	96.156	664.75	0.721119
593.51	94.388	665.75	0.719996
593.85	95.954	666.75	0.718893
594.19	94.217	667.75	0.718036
594.54	95.531	668.75	0.716918
594.88	92.966	669.75	0.715823
595.22	95.519	670.75	0.714958
595.56	94.903	671.75	0.713854
595.9	93.859	672.75	0.713023
596.24	95.016	673.75	0.711636
596.58	95.644	674.75	0.710559
596.92	94.798	675.75	0.709705
597.26	94.987	676.75	0.708615
597.6	94.531	677.75	0.707798
597.94	94.223	678.75	0.706705
598.28	92.614	679.75	0.705632
598.62	92.333	680.75	0.704798
598.96	96.167	681.75	0.703728
599.3	93.32	682.75	0.702899
599.64	92.696	683.75	0.701827
599.98	92.453	684.75	0.701018
600.32	92.493	685.75	0.699948
600.65	91.33	686.75	0.698882
600.99	92.974	687.75	0.698078
601.33	90.749	688.75	0.697019
601.67	91.897	689.75	0.696219
602.01	92.455	690.75	0.695165
602.35	90	691.75	0.694348
602.69	92.736	692.75	0.693314
603.02	89.75	693.75	0.692253
603.36	90.291	694.75	0.691481
603.7	89.74	695.75	0.69042
604.04	90.152	696.75	0.689673
604.37	90.873	697.75	0.688632
604.71	90.682	698.75	0.687779
605.05	90.867	699.75	0.686817
605.38	88.538	700.75	0.685955
605.72	89.809	701.75	0.685013
606.06	90.782	702.75	0.683973
606.39	89.148	703.75	0.683263
606.73	88.469	704.75	0.682226
607.07	87.237	705.75	0.68149
607.4	88.193	706.75	0.68046
607.74	89.366	707.75	0.679505
608.08	87.409	708.75	0.678697
608.41	87.59	709.75	0.677722
608.75	87.508	710.75	0.676949
609.08	87.69	711.75	0.675956
609.42	86.971	712.75	0.675203
609.75	87.107	713.75	0.674228
610.09	87.451	714.75	0.673442
610.42	87.508	715.75	0.672506
610.76	88.822	716.75	0.671505
611.09	87.304	717.75	0.670802
611.43	86.497	718.75	0.669813
611.76	85.817	719.75	0.669142
612.09	86.871	720.75	0.66815
612.43	86.771	721.75	0.667442
612.76	87.533	722.75	0.666472
613.1	85.658	723.75	0.665491
613.43	85.199	724.75	0.664807
613.76	85.817	725.75	0.663832
614.1	86.723	726.75	0.66319
614.43	86.654	727.75	0.662217
614.76	83.044	728.75	0.661533
615.09	85.434	729.75	0.660582
615.43	85.484	730.75	0.65984
615.76	85.084	731.75	0.658954
616.09	85.448	732.75	0.65801
616.42	84.257	733.75	0.65735
616.76	84.805	734.75	0.656429
617.09	82.846	735.75	0.655771
617.42	83.493	736.75	0.654847
617.75	84.345	737.75	0.654205
618.08	82.805	738.75	0.653265
618.41	83.758	739.75	0.652587
618.75	82.445	740.75	0.651699
619.08	83.975	741.75	0.650891
619.41	83.941	742.75	0.650148
619.74	82.286	743.75	0.649232
620.07	83.693	744.75	0.648603
620.4	82.772	745.75	0.647701
620.73	81.589	746.75	0.647082
621.06	82.177	747.75	0.646203
621.39	82.552	748.75	0.645559
621.72	83.406	749.75	0.644687
622.05	83.281	750.75	0.644083
622.38	80.254	751.75	0.643196
622.71	83.457	752.75	0.642579
623.04	81.084	753.75	0.641716
623.37	83.083	754.75	0.641093
623.7	82.993	755.75	0.640245
624.02	81.127	756.75	0.639627
624.35	80.282	757.75	0.638784
624.68	80.513	758.75	0.638184
625.01	80.53	759.75	0.637326
625.34	77.745	760.75	0.636638
